"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20201","11140670","황학동","3247840","07","2626087000","783762000","47827000","272246000","439728000","38803000","37825000","63362000","194940000","56968000","690626000"
"20201","11170510","후암동","3013677","07","1732947000","763732000","36428000","13489000","65247000","21915000","59924000","27209000","50758000","40671000","653574000"
"20201","11170640","이촌2동","3596083","07","540815000","171789000","17163000","425000","13422000","262673000","15493000","0","4457000","380000","55013000"
"20201","11170690","서빙고동","4208562","08","955666000","253021000","21926000","18863000","20021000","78347000","123663000","0","203639000","25925000","210261000"
"20201","11200615","금호2?3가동","3751434","08","2033999000","896981000","92608000","6705000","252275000","185000","59049000","41246000","71029000","71488000","542433000"
"20201","11200670","성수2가1동","2900762","06","4637140000","1443389000","227015000","270302000","474312000","268912000","53418000","151848000","301963000","167537000","1278444000"
"20201","11215740","중곡1동","2542359","06","3761761000","1358198000","64430000","299481000","345175000","520960000","31721000","244000000","213897000","124365000","559534000"
"20201","11215830","자양2동","2999213","07","2706127000","811233000","44806000","37856000","393607000","74981000","161001000","154849000","214286000","103976000","709532000"
"20201","11230650","장안1동","2863708","06","9368489000","2689996000","200710000","183014000","1640510000","947682000","166717000","408117000","438335000","317375000","2376033000"
"20201","11230720","휘경1동","2722774","06","2942296000","1011865000","15742000","184444000","337677000","51631000","79492000","65066000","149880000","246308000","800191000"
"20201","11260570","면목7동","2655671","06","3140483000","1321760000","77816000","29684000","553975000","14951000","127928000","105479000","110648000","185102000","613140000"
"20201","11260620","묵1동","3120718","07","3404811000","692989000","104153000","67726000","717619000","55635000","143525000","175801000","205555000","199298000","1042510000"
"20201","11260680","신내1동","2780491","06","4464230000","1399351000","59860000","55427000","554628000","266119000","349418000","169513000","253402000","157472000","1199040000"
